Front,Back,Tags
"mr
/'mistә(r)/

_If **Mr** Johnson has his 
handwashingtechniquesare 
weeksayearwillspendan 
lenges, like fintech._","## mr

**Chinese:** 先生\n[计] 存储器回收程序, 多重请求
**English:** n a form of address for a man

📊 Appears in 202 issue(s) · 10717 occurrences",
"china
/'tʃainә/

_It also marked the 
70th founding anniversary of the People’s Republic of **China** (PRC)._","## china

**Chinese:** n. 中国, 瓷器\na. 中国的
**English:** n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world\nn. high quality porcelain originally made only in China
**CEFR:** B2

📊 Appears in 204 issue(s) · 5857 occurrences",CEFR::B2
"america
/ә'merikә/

_JANUARY 11TH–17TH 2020

**america**’s 2020 election
Checks and Balance

Are you MBA-ready?_","## america

**Chinese:** n. 美洲, 美国
**English:** n. North America and South America and Central America
**CEFR:** A1

📊 Appears in 204 issue(s) · 5737 occurrences",CEFR::A1
"trump
/trʌmp/

_In 2018, when the death rate dropped for the first time in
ages, the **Trump** administration took a victory lap much too soon, touting the
success o…_","## trump

**Chinese:** n. 王牌, 法宝, 喇叭\nvt. 打出王牌赢, 胜过\nvi. 出王牌, 吹喇叭
**English:** n. a playing card in the suit that has been declared trumps\nn. (card games) the suit that has been declared to rank above all other suits for the duration of the hand\nv. produce a sound as if from a trumpet\nv. play a trump
**CEFR:** C2

📊 Appears in 196 issue(s) · 3330 occurrences",CEFR::C2
"american
/ә'merikәn/

_Theprincipleofjudicial 
**American** companies pay on 
lance and limitations to funda-
independence in B…_","## american

**Chinese:** n. 美国人\na. 美国的, 美洲的
**English:** n. a native or inhabitant of the United States\nn. a native or inhabitant of a North American or Central American or South American country\na. of or relating to the United States of America or its people or language or culture
**CEFR:** A1

📊 Appears in 203 issue(s) · 3231 occurrences",CEFR::A1
"bn

_…kers of OxyContin and
other opioid manufacturers and distributors, culminating in last year’s
momentous judgment and a penalty of $350bn—larger than that impose…_","## bn

**Chinese:** abbr. 护理学士（Bachelor of Nursing）；平衡网络（Balancing Network）

📊 Appears in 201 issue(s) · 2844 occurrences",
"britain
/'britәn/

_…wn 
'W'hethereniployeeswould 
at the same time protecting 
cial independence in **Britain** 
Schumpeter(March 7th) con-
share equally in those benefits._","## britain

**Chinese:** n. 英国
**English:** n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom
**CEFR:** A2

📊 Appears in 203 issue(s) · 2815 occurrences",CEFR::A2
"th

_JANUARY 11TH–17TH 2020

america’s 2020 election
Checks and Balance

Are you MBA-ready?_","## th

**Chinese:** [医] 钍(90号元素)
**English:** n the fifth day of the week; the fourth working day\nn a soft silvery-white tetravalent radioactive metallic element; isotope 232 is used as a power source in nuclear reactors; occurs in thorite and in monazite sands

📊 Appears in 206 issue(s) · 2618 occurrences",
"europe
/'juәrәp/

_(The fact that as many as 70,000 people died as a result of a
heatwave in **Europe** in 2003, for example, became apparent only in 2008.)
Heat also kills…_","## europe

**Chinese:** n. 欧洲
**English:** n. the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles\nn. the nations of the European continent collectively
**CEFR:** A2

📊 Appears in 201 issue(s) · 2314 occurrences",CEFR::A2
"russia
/'rʌʃә/

_**Russia** was behind a failed coup in Montenegro in 2016 which seemed to
draw support from DF, although it denied involvement._","## russia

**Chinese:** n. 俄国, 俄罗斯\n[法] 俄罗斯, 苏联
**English:** n. a former empire in eastern Europe and northern Asia created in the 14th century with Moscow as the capital; powerful in the 17th and 18th centuries under Peter the Great and Catherine the Great when Saint Petersburg was the capital; overthrown by revolution in 1917\nn. a federation in northeastern Europe and northern Asia; formerly Soviet Russia; since 1991 an independent state
**CEFR:** A2

📊 Appears in 200 issue(s) · 2222 occurrences",CEFR::A2
"ukraine
/ju(:)'krein/

_…later Chinese
investors purchased a half-built Soviet carrier and towed it from **Ukraine** to
China, purportedly to turn it into a floating casino._","## ukraine

**Chinese:** n. 乌克兰（原苏联一加盟共和国, 现已独立）
**English:** n. a republic in southeastern Europe; formerly a European soviet; the center of the original Russian state which came into existence in the ninth century
**CEFR:** C2

📊 Appears in 185 issue(s) · 1923 occurrences",CEFR::C2
"ai
/ai/

_…of cloud computing,
Big Data, Internet of Things (IoT), artiﬁcial
intelligence (**AI**) and 5G networks._","## ai

**Chinese:** [计] 附加信息, 人工智能\n[化] 人工智能
**English:** n an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders\nn the branch of computer science that deal with writing computer programs that can solve problems creatively\nn a sloth that has three long claws on each forefoot and each hindfoot\nn the introduction of semen into the oviduct or uterus by some means other than sexual intercourse

📊 Appears in 155 issue(s) · 1638 occurrences",
"india
/'indjә/

_…mon in that demographic segment.) Industry bosses reckon
that in countries like **India** and Kenya, about 20% of households can afford a
smart fridge, though o…_","## india

**Chinese:** n. 印度
**English:** n. a republic in the Asian subcontinent in southern Asia; second most populous country in the world; achieved independence from the United Kingdom in 1947
**CEFR:** C1

📊 Appears in 196 issue(s) · 1447 occurrences",CEFR::C1
"africa
/'æfrikә/

_…germ theory had caught on sooner?*

Leaders

After the disease

In sub-Saharan **Africa**, suffering a lethal outbreak, just 2.4% of the
population aged over 1…_","## africa

**Chinese:** n. 非洲
**English:** n. the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean
**CEFR:** A2

📊 Appears in 202 issue(s) · 1437 occurrences",CEFR::A2
"european
/.juәrә'pi:әn/

_For 
the work-life balance, but 
**European** central banks 
stoke concerns of opportunis-
many this resulted in…_","## european

**Chinese:** n. 欧洲人\na. 欧洲的, 欧洲人的
**English:** n. a native or inhabitant of Europe\na. of or relating to or characteristic of Europe or the people of Europe
**CEFR:** A2

📊 Appears in 203 issue(s) · 1417 occurrences",CEFR::A2
"ms
/miz/

_The doctors occasionally put **Ms**
Watanabe through “cognitive training”, a set of computer-based mental
gymnastics._","## ms

**Chinese:** 美国微软公司\n[计] 主存储器, 制造系统, 毫秒, 微软公司
**English:** n. a form of address for a woman

📊 Appears in 198 issue(s) · 1279 occurrences",
"better
/'betә/

_may nO'W' find it is **better** to 
legitimise the extensive use of 
of a safeguard against 
GBOBGECR…_","## better

**Chinese:** a. 较好的\nadv. 比较好
**English:** n. something superior in quality or condition or effect\nn. a superior person having claim to precedence\nn. the superior one of two alternatives\nv. surpass in excellence
**CEFR:** A2

📊 Appears in 201 issue(s) · 1224 occurrences",CEFR::A2
"russian
/'rʌʃәn/

_Pro-Serbian and therefore pro-**Russian** officials have
already been put into important jobs, with access to sensitive intelligence._","## russian

**Chinese:** n. 俄国人, 俄语\na. 俄国的, 俄语的
**English:** n. a native or inhabitant of Russia\nn. the Slavic language that is the official language of Russia\na. of or pertaining to or characteristic of Russia or its people or culture or language
**CEFR:** B1

📊 Appears in 188 issue(s) · 1103 occurrences",CEFR::B1
"eu

_…forward, this could 
happens if your personal com-
staff per inhabitant in the **EU** 
sticking to using data as a 
improve health outcomes and 
puterbreaks do…_","## eu

**Chinese:** [化] 富集铀; 浓缩铀\n[医] 铕(63号元素)
**English:** n a bivalent and trivalent metallic element of the rare earth group\nn an international organization of European countries formed after World War II to reduce trade barriers and increase cooperation among its members

📊 Appears in 196 issue(s) · 1093 occurrences",
"israel
/'izreil/

_Around half of the adults infected in a recent Delta outbreak in **Israel** were
fully vaccinated with the Pfizer vaccine._","## israel

**Chinese:** n. 以色列, 以色列后裔, 犹太人
**English:** n. Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine\nn. an ancient kingdom of the Hebrew tribes at the southeastern end of the Mediterranean Sea; founded by Saul around 1025 BC and destroyed by the Assyrians in 721 BC
**CEFR:** A2

📊 Appears in 168 issue(s) · 1039 occurrences",CEFR::A2
"asia
/'eiʒә/

_…beings alive today are descendants of a
small number of migrants who crossed to **Asia** from the Horn of Africa
about 60,000 years ago, meaning that any non-Af…_","## asia

**Chinese:** n. 亚洲
**English:** n. the largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations\nn. the nations of the Asian continent collectively
**CEFR:** B2

📊 Appears in 184 issue(s) · 999 occurrences",CEFR::B2
"gdp

_…Anticipeting en •nciont

20 Brlefln1 The pandemic 
-
The outlook mutatea 
World **GDP***,~ change on previous quartert

Our ftnn ldH •Uttodt•won th<

DESIGNED F…_","## gdp

**Chinese:** [化] 鸟苷二磷酸
**English:** n the measure of an economy adopted by the United States in 1991; the total market values of goods and services produced by workers and capital within a nation's borders during a given period (usually 1 year)
**CEFR:** C1

📊 Appears in 197 issue(s) · 927 occurrences",CEFR::C1
"biden
/baidən/

_…death toll was barely dented by the
modest sums spent on the problem during the **Biden** administration, which
did little more than twiddle its thumbs after Re…_","## biden

**Chinese:** [人名] 拜登

📊 Appears in 179 issue(s) · 919 occurrences",
"pandemic
/pæn'demik/

_…dilemma of 
as a feature iatherthan a ten-
Emnomllt.cam/11118n

18 Brlefln1 The **pandemic** 
-
Anticipeting en •nciont

20 Brlefln1 The pandemic 
-
The outlook…_","## pandemic

**Chinese:** a. 大流行的, 普遍的, 全世界的\n[医] 大流行的, 大流行病
**English:** n. an epidemic that is geographically widespread; occurring throughout a region or even throughout the world\ns. epidemic over a wide geographical area\ns. existing everywhere
**CEFR:** B2

📊 Appears in 192 issue(s) · 914 occurrences",CEFR::B2
"british
/'britiʃ/

_Big **British** and 
imagine hO'W' massive survell-
22nd)._","## british

**Chinese:** a. 英国的\nn. 英国人, 英国英语
**English:** n. the people of Great Britain\na. of or relating to or characteristic of Great Britain or its people or culture
**CEFR:** A2

📊 Appears in 199 issue(s) · 882 occurrences",CEFR::A2
"germany
/'dʒә:mәni/

_The Reis-class is a
version of **Germany**’s Type 214, which is operated by the navies of Portugal,
South Korea and Greece itself._","## germany

**Chinese:** n. 德国
**English:** n. a republic in central Europe; split into East Germany and West Germany after World War II and reunited in 1990
**CEFR:** A2

📊 Appears in 189 issue(s) · 832 occurrences",CEFR::A2
"covid

_privacy, **covid**-19 or not._","## covid


📊 Appears in 174 issue(s) · 822 occurrences",
"best
/best/

_Mrs Chippy’s benediction: February 2055

the Moon are the first and **best** example of what has turned out to be a
fundamental fact of space flight…_","## best

**Chinese:** a. 最好的\nadv. 最好地\nn. 最好的人
**English:** n. the supreme effort one can make\nn. the person who is most outstanding or excellent; someone who tops all others\nn. Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978)
**CEFR:** A1

📊 Appears in 195 issue(s) · 813 occurrences",CEFR::A1
"iran
/i'rɑ:n/

_It has also spawned at least 15 imitators, in
places as disparate as Australia, Chile and **Iran**._","## iran

**Chinese:** n. 伊朗
**English:** n. a theocratic Islamic republic in the Middle East in western Asia; Iran was the core of the ancient empire that was known as Persia until 1935; rich in oil
**CEFR:** B2

📊 Appears in 149 issue(s) · 774 occurrences",CEFR::B2
"japan
/dʒә'pæn/

_In **Japan**, by contrast, laboratory marmosets rarely make it past their 21st
birthday._","## japan

**Chinese:** n. 日本\n[化] 天然漆; 大漆; 漆器
**English:** n. a string of more than 3,000 islands to the east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean\nn. a constitutional monarchy occupying the Japanese Archipelago; a world leader in electronics and automobile manufacture and ship building\nn. lacquerware decorated and varnished in the Japanese manner with a glossy durable black lacquer
**CEFR:** B2

📊 Appears in 184 issue(s) · 758 occurrences",CEFR::B2
"co

_…at to rid China of crypto transactions, “mining had to go”,
says Bobby Lee, who **co**-founded China’s first cryptocurrency exchange (it
was forced to shut in 2…_","## co

**Chinese:** [医] 钴(27号元素)
**English:** n an odorless very poisonous gas that is a product of incomplete combustion of carbon\nn a hard ferromagnetic silver-white bivalent or trivalent metallic element; a trace element in plant and animal nutrition\nn one who refuses to serve in the armed forces on grounds of conscience\nn a state in west central United States in the Rocky Mountains

📊 Appears in 189 issue(s) · 704 occurrences",
"france
/frɑ:ns/

_The second round of **France**’s local elections were a disappointment for
Marine Le Pen and her National Rally party._","## france

**Chinese:** n. 法国
**English:** n. a republic in western Europe; the largest country wholly in Europe\nn. French writer of sophisticated novels and short stories (1844-1924)
**CEFR:** A2

📊 Appears in 186 issue(s) · 692 occurrences",CEFR::A2
"newsletter
/'nju:z.letә/

_“We have no alternative political forces besides
the LDP,” says Toshikawa Takao, the editor of Insideline, a political
**newsletter**._","## newsletter

**Chinese:** n. 时事通讯, 业务通讯, 时事传报\n[法] 时事通讯, 时事信札
**English:** n. report or open letter giving informal or confidential news of interest to a special group
**CEFR:** C1

📊 Appears in 186 issue(s) · 676 occurrences",CEFR::C1
"americans

_In 2031 the proportion of obese **Americans** fell
for the first time in more than 20 years, and the rate of dia…_","## americans

**Chinese:** n. 美国人（American的复数形式）
**English:** n a native or inhabitant of the United States\nn the English language as used in the United States\nn a native or inhabitant of a North American or Central American or South American country
**CEFR:** A1

📊 Appears in 181 issue(s) · 651 occurrences",CEFR::A1
"tariffs
/'tærɪf/

_…on July 16th, after we
go to press, but permits will be far too cheap.) Carbon **tariffs** are a fallback
measure._","## tariffs

**Chinese:** n. 关税制度; 关税( tariff的名词复数 ); 关税表; （旅馆或饭店等的）收费表; 量刑标准
**English:** n a government tax on imports or exports\nv charge a tariff
**CEFR:** B1

📊 Appears in 122 issue(s) · 639 occurrences",CEFR::B1
"xi
/sai. zai. ksai. ksi:/

_True, the crowd was hand-picked and bused in hours ahead
of Mr **Xi**’s arrival._","## xi

**Chinese:** n. 希腊字母的第14个字母；粒子（等于xi particle）
**English:** n. the 14th letter of the Greek alphabet

📊 Appears in 172 issue(s) · 628 occurrences",
"london
/'lʌndәn/

_adaptation· offered bythe 
wellbeing, to reOect before 
Departmentof Coniputer 
For Hong Kong, the recent 
strike on the **London** 
implenienting long-term._","## london

**Chinese:** n. 伦敦
**English:** n. the capital and largest city of England; located on the Thames in southeastern England; financial and industrial and cultural center\nn. United States writer of novels based on experiences in the Klondike gold rush (1876-1916)
**CEFR:** B2

📊 Appears in 190 issue(s) · 606 occurrences",CEFR::B2
"taiwan
/'tai'wɑ:n/

_**Taiwan**._","## taiwan

**Chinese:** n. 台湾
**English:** n. a government on the island of Taiwan established in 1949 by Chiang Kai-shek after the conquest of mainland China by the Communists led by Mao Zedong\nn. an island in southeastern Asia 100 miles off the coast of mainland China in the South China Sea
**CEFR:** C1

📊 Appears in 150 issue(s) · 602 occurrences",CEFR::C1
"donald
/'dɔnәld/

_…sive Plan of Action (JCPOA),
that was signed in 2015 and abandoned by President **Donald** Trump three
years later._","## donald

**Chinese:** n. 唐纳德（男子名）
**CEFR:** B1

📊 Appears in 166 issue(s) · 594 occurrences",CEFR::B1
"americas
/ə'merikəz/

_…ec, of life larger than politics, that
its residents are right to defend.■

The **Americas**

Serve the people

is the largest exporter of food to Cuba, though…_","## americas

**Chinese:** n. 美洲
**English:** n North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776\nn North America and South America and Central America
**CEFR:** A1

📊 Appears in 201 issue(s) · 536 occurrences",CEFR::A1
"korea
/kә'riә/

_North **Korea** has
publicly rebuffed all overtures._","## korea

**Chinese:** n. 朝鲜, 韩国
**English:** n. an Asian peninsula (off Manchuria) separating the Yellow Sea and the Sea of Japan; the Korean name is Dae-Han-Min-Gook or Han-Gook
**CEFR:** B1

📊 Appears in 162 issue(s) · 511 occurrences",CEFR::B1
"democrats

_…force on the liberal centre-
right opposing the direct influence of the Sweden **Democrats** over our
government._","## democrats

**Chinese:** n. 民主主义者；民主党员（democrat的复数）
**English:** n a member of the Democratic Party\nn an advocate of democratic principles
**CEFR:** C1

📊 Appears in 167 issue(s) · 500 occurrences",CEFR::C1
"gaza
/'^ɑ:zә/

_It flooded hundreds of
tunnels that ran between Egypt and **Gaza**, cutting off a conduit for goods
(and weapons) into the territory._","## gaza

**Chinese:** n. 加沙（地中海岸港市）
**English:** n a coastal region at the southeastern corner of the Mediterranean bordering Israel and Egypt
**CEFR:** C2

📊 Appears in 111 issue(s) · 498 occurrences",CEFR::C2
"republican
/ri'pʌblikәn/

_Perhaps most alarmingly, 46% of
Trump supporters thought it appropriate for **Republican** legislators to
overturn the results in states won by Mr Biden, ac…_","## republican

**Chinese:** n. 共和主义者, 共和党员\na. 共和政体的, 共和国的, 共和主义的
**English:** n. a member of the Republican Party\nn. an advocate of a republic (usually in opposition to a monarchy)\nn. a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas\na. relating to or belonging to the Republican Party
**CEFR:** B2

📊 Appears in 162 issue(s) · 494 occurrences",CEFR::B2
"french
/frentʃ/

_…arch live in London, compared with 34% of
Romanians, 46% of Italians and 54% of **French** applicants._","## french

**Chinese:** n. 法国人, 法文, 法式\na. 法国的, 法国人的, 法语的
**English:** n. the Romance language spoken in France and in countries colonized by France\nn. the people of France\nn. United States sculptor who created the seated marble figure of Abraham Lincoln in the Lincoln Memorial in Washington D.C. (1850-1931)
**CEFR:** A2

📊 Appears in 166 issue(s) · 492 occurrences",CEFR::A2
"york
/jɔ:k/

_The covid-19 
New **York** 
economic surveys, statistical 
to the city's Court of Final 
crisis has brought about mass-
collection._","## york

**Chinese:** n. 约克郡；约克王朝
**English:** n. the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose
**CEFR:** B1

📊 Appears in 171 issue(s) · 485 occurrences",CEFR::B1
"nato
/'neitәj/

_Alarm bells are ringing at **NATO** headquarters, however._","## nato

**Chinese:** 北大西洋公约组织, 北约组织\n[经] 北大西洋公约组织
**English:** n an international organization created in 1949 by the North Atlantic Treaty for purposes of collective security
**CEFR:** C1

📊 Appears in 157 issue(s) · 480 occurrences",CEFR::C1
"trn

_…ear and markets panicked in spring 2020,
the Fed hoovered up almost $1.5trn of Treasuries in just two months before
dramatically slowing its purchases, which ev…_","## trn

**Chinese:** [计] trn阅读器

📊 Appears in 161 issue(s) · 457 occurrences",
"indian
/'indiәn/

_A vote of confidence

together with those of **Indian** or Pakistani descent._","## indian

**Chinese:** n. 印度人, 印第安人, 印第安语\na. 印度的, 印度群岛的, 印第安语的
**English:** n. a member of the race of people living in America when Europeans arrived\nn. a native or inhabitant of India\na. of or relating to or characteristic of India or the East Indies or their peoples or languages or cultures
**CEFR:** A2

📊 Appears in 152 issue(s) · 444 occurrences",CEFR::A2
